	direction	svarAddr	routeName	telNo	serviceAreaCode	serviceAreaName	brand	routeCode	serviceAreaCode2	convenience	maintenanceYn	truckSaYn
1	NA	경기 하남시 중부고속도로 117	중부선	031-791-4200	A00006	하남드림휴게소	탐앤탐스	352	139	수유실|수면실|	X	X
2	NA	충북 옥천군 옥천읍중앙로 135	경부선	043-732-0081	A00227	옥천만남의광장휴게소	-	10	404		O	X
3	NA	경상북도 의성군 단밀면 도안로 757-68	상주영천선	031-481-9758	A00264	낙동강의성(영천)휴게소	드롭탑 외 7	3010	516	내고장특산물|약국|	X	X
4	NA	경상북도 구미시 도개면 용산3길 132122-65	상주영천선	055-312-2820	A00265	낙동강구미(상주)휴게소	로티번	3010	517		X	X
5	NA	경상북도 구미시 도량동472-4 선기졸음쉼터(부산방향)	경부선	061-864-5007	A00269	선기(부산)졸음쉼터	드롭탑 외 2	10	537	샤워실|세탁실|	X	O
6	NA	경기도 안산시 단원구 선부3동 285-18	영동선	031-482-7775	A00648	안산(인천)휴게소	탐앤탐스 외	500			X	X
7	NA	경기 평택시 청북읍평택제천고속도로 6(평택복합휴게소)	평택제천선	031-683-4800	A00299	평택휴게소	할리스 외 2	400	572		X	O
8	NA	전남 장흥군 부산면호계리 산 211-1 외 9필지	남해선(영암순천)	061-864-5007	A00300	장흥정남진휴게소	드롭탑 외 1	101	575		X	O
9	강릉	경기도 용인시 고림동9번지	영동선	031-339-3663	A00010	용인(강릉)휴게소	던킨도너츠 외 2	500	207		X	X
10	강릉	경기 여주군 가남면본두리 687-1	영동선	031-882-3120	A00012	여주(강릉)휴게소	할리스 외 2	500	203		X	O
11	강릉	강원도 횡성군 안흥면 영동고속도로 154	영동선	033-342-4231	A00019	횡성(강릉)휴게소	나뚜르 외 2	500	194		X	X
12	강릉	강원 원주시 문막읍원문로 1234	영동선	033-731-8481	A00024	문막(강릉)휴게소	던킨도너츠 외 6	500	201		X	X
13	강릉	강원도 평창군 용평면이목정리 778-2	영동선	033-334-5100	A00101	평창(강릉)휴게소	탐앤탐스 외 1	500	188		X	X
14	강릉	강원도 강릉시 성산면보광리 산273	영동선	033-648-8850	A00111	강릉(강릉)휴게소	엔제리너스 외 2	500	181		X	X
15	공주	충남 부여군 내산면율암리  134	서천공주선	041-833-5400	A00173	부여백제(서천)휴게소	카페베네 외 1	1510	321		X	X
16	광주	전북 남원시 아영면아곡리 79-1	광주대구선	063-636-7195	A00059	지리산(광주)휴게소	할리스 외 2	122	88		X	X
17	광주	경남 거창군 가조면도리(가조가야로)	광주대구선	055-943-0992	A00074	거창(광주)휴게소	할리스 외 1	122	84		X	X
18	광주	전남 함평군 엄다면화양리 산10-3번지	무안광주선	061-324-8840	A00155	함평나비(광주)휴게소	탐앤탐스 외 1	121	269		X	X
19	광주	대구광역시 달성군 논공읍삼리리 458-5	"광주대구선,무안광주선"	070-4304-0600	A00223	논공(고서)휴게소	드롭탑 외 1	120	81		X	X
20	광주	전북 순창군 순창읍광주대구고속도로 27	광주대구선	063-653-4033	A00238	강천산(광주)휴게소	로띠번	122	436		X	X
21	남이	경기 이천시 마장면목리 142	중부선	031-637-0987	A00008	이천(남이)휴게소	드롭탑 외 1	352	144		X	X
22	남이	충북 청원군 오창면화산리 395-15	중부선	043-217-1477	A00039	오창(남이)휴게소	할리스 외 2	352	150		X	X
23	남이	충북 음성군 삼성면용성리 산44	중부선	043-878-6410	A00041	음성(남이)휴게소	탐앤탐스	352	146		X	X
24	논산	충남 논산시 벌곡면호남지선고속도로25	호남선의 지선	041-732-7694	A00043	벌곡(논산)휴게소	탐앤탐스 외 3	2510	240		X	X
